id,ubicacion,prioridad,tipo,timestamp,estado
I-0408,Z-33,2,accidente_vehicular,2026-07-01T23:14,pendiente
I-0409,Z-35,4,accidente_vehicular,2026-07-03T01:41,pendiente
I-0410,Z-50,1,rescate,2026-07-03T00:42,pendiente
I-0411,Z-12,2,emergencia_medica,2026-07-01T13:23,pendiente
I-0412,Z-48,5,rescate,2026-07-02T02:51,pendiente
I-0413,Z-26,4,emergencia_medica,2026-07-04T08:50,pendiente
I-0414,Z-18,4,emergencia_medica,2026-07-04T05:08,pendiente
I-0415,Z-03,3,derrumbe,2026-07-01T22:54,pendiente
I-0416,Z-25,5,emergencia_medica,2026-07-03T17:46,pendiente
I-0417,Z-11,4,rescate,2026-07-01T17:47,pendiente
I-0418,Z-40,3,emergencia_medica,2026-07-04T02:49,pendiente
I-0419,Z-16,2,derrumbe,2026-07-02T17:27,pendiente
I-0420,Z-30,4,fuga_gas,2026-07-01T12:30,pendiente
I-0421,Z-49,3,accidente_vehicular,2026-07-04T01:02,pendiente
I-0422,Z-34,5,accidente_vehicular,2026-07-01T13:18,pendiente
I-0423,Z-38,4,rescate,2026-07-03T23:36,pendiente
I-0424,Z-29,4,incendio,2026-07-04T02:50,pendiente
I-0425,Z-44,1,fuga_gas,2026-07-01T15:28,pendiente
I-0426,Z-39,5,accidente_vehicular,2026-07-01T23:22,pendiente
I-0427,Z-40,5,derrumbe,2026-07-01T15:06,pendiente
I-0428,Z-10,2,derrumbe,2026-07-02T09:36,pendiente
I-0429,Z-29,5,incendio,2026-07-02T16:17,pendiente
I-0430,Z-51,5,inundacion,2026-07-02T23:31,pendiente
I-0431,Z-26,2,incendio,2026-07-02T22:25,pendiente
I-0432,Z-18,1,derrumbe,2026-07-01T18:18,pendiente
I-0433,Z-08,4,fuga_gas,2026-07-02T18:58,pendiente
I-0434,Z-22,4,accidente_vehicular,2026-07-02T12:05,pendiente
I-0435,Z-36,4,rescate,2026-07-02T22:51,pendiente
I-0436,Z-07,3,incendio,2026-07-03T00:33,pendiente
I-0437,Z-39,4,inundacion,2026-07-03T21:23,pendiente
I-0438,Z-44,3,emergencia_medica,2026-07-02T11:31,pendiente
I-0439,Z-34,2,derrumbe,2026-07-02T04:00,pendiente
I-0440,Z-19,4,incendio,2026-07-03T19:07,pendiente
I-0441,Z-23,4,accidente_vehicular,2026-07-02T20:44,pendiente
I-0442,Z-12,3,emergencia_medica,2026-07-02T21:48,pendiente
I-0443,Z-22,4,emergencia_medica,2026-07-04T03:47,pendiente
I-0444,Z-19,4,emergencia_medica,2026-07-02T21:13,pendiente
I-0445,Z-13,4,incendio,2026-07-03T12:20,pendiente
I-0446,Z-34,2,rescate,2026-07-03T13:22,pendiente
I-0447,Z-02,4,inundacion,2026-07-03T20:08,pendiente
I-0448,Z-51,2,emergencia_medica,2026-07-01T22:25,pendiente
I-0449,Z-15,5,rescate,2026-07-04T02:12,pendiente
I-0450,Z-10,5,accidente_vehicular,2026-07-04T00:04,pendiente
I-0451,Z-38,3,incendio,2026-07-02T16:51,pendiente
I-0452,Z-39,5,derrumbe,2026-07-02T23:58,pendiente
I-0453,Z-48,4,rescate,2026-07-03T02:40,pendiente
I-0454,Z-30,2,rescate,2026-07-03T09:10,pendiente
I-0455,Z-34,3,emergencia_medica,2026-07-02T15:17,pendiente
I-0456,Z-03,3,incendio,2026-07-04T04:21,pendiente
I-0457,Z-01,2,emergencia_medica,2026-07-01T20:05,pendiente
I-0458,Z-25,5,accidente_vehicular,2026-07-03T04:14,pendiente
I-0459,Z-44,2,inundacion,2026-07-04T08:48,pendiente
I-0460,Z-27,2,derrumbe,2026-07-02T03:35,pendiente
I-0461,Z-35,3,inundacion,2026-07-01T16:20,pendiente
I-0462,Z-48,4,emergencia_medica,2026-07-04T08:02,pendiente
I-0463,Z-03,3,emergencia_medica,2026-07-01T22:26,pendiente
I-0464,Z-17,3,inundacion,2026-07-02T02:26,pendiente
I-0465,Z-43,5,emergencia_medica,2026-07-02T20:27,pendiente
I-0466,Z-39,4,incendio,2026-07-02T02:50,pendiente
I-0467,Z-46,3,fuga_gas,2026-07-04T05:36,pendiente
I-0468,Z-13,4,derrumbe,2026-07-04T06:09,pendiente
I-0469,Z-50,5,inundacion,2026-07-02T15:04,pendiente
I-0470,Z-25,3,incendio,2026-07-02T15:56,pendiente
I-0471,Z-42,3,fuga_gas,2026-07-02T15:49,pendiente
I-0472,Z-06,3,incendio,2026-07-03T18:01,pendiente
I-0473,Z-21,2,emergencia_medica,2026-07-03T03:08,pendiente
I-0474,Z-15,3,derrumbe,2026-07-02T22:39,pendiente
I-0475,Z-50,2,emergencia_medica,2026-07-03T15:43,pendiente
I-0476,Z-21,4,emergencia_medica,2026-07-02T20:06,pendiente
I-0477,Z-42,3,incendio,2026-07-02T03:49,pendiente
I-0478,Z-25,3,inundacion,2026-07-04T00:09,pendiente
I-0479,Z-04,2,inundacion,2026-07-03T22:55,pendiente
I-0480,Z-40,3,inundacion,2026-07-03T07:18,pendiente
I-0481,Z-42,1,inundacion,2026-07-03T19:24,pendiente
I-0482,Z-04,2,fuga_gas,2026-07-04T05:20,pendiente
I-0483,Z-25,1,inundacion,2026-07-02T02:39,pendiente
I-0484,Z-07,5,accidente_vehicular,2026-07-02T16:44,pendiente
I-0485,Z-44,3,rescate,2026-07-03T21:09,pendiente
I-0486,Z-38,1,fuga_gas,2026-07-03T21:59,pendiente
I-0487,Z-32,3,inundacion,2026-07-01T12:11,pendiente
I-0488,Z-43,3,accidente_vehicular,2026-07-03T14:53,pendiente
I-0489,Z-38,1,derrumbe,2026-07-02T01:29,pendiente
I-0490,Z-16,1,inundacion,2026-07-04T00:05,pendiente
I-0491,Z-43,5,inundacion,2026-07-03T17:40,pendiente
I-0492,Z-06,4,accidente_vehicular,2026-07-01T16:56,pendiente
I-0493,Z-48,1,accidente_vehicular,2026-07-02T01:00,pendiente
I-0494,Z-03,4,accidente_vehicular,2026-07-03T01:18,pendiente
I-0495,Z-08,5,emergencia_medica,2026-07-03T10:54,pendiente
I-0496,Z-44,5,rescate,2026-07-01T20:20,pendiente
I-0497,Z-25,1,incendio,2026-07-02T09:28,pendiente
I-0498,Z-02,3,rescate,2026-07-03T07:26,pendiente
I-0499,Z-08,4,accidente_vehicular,2026-07-01T19:57,pendiente
I-0500,Z-23,2,fuga_gas,2026-07-01T13:46,pendiente
I-0501,Z-45,4,rescate,2026-07-03T14:20,pendiente
I-0502,Z-08,2,inundacion,2026-07-03T09:50,pendiente
I-0503,Z-47,3,incendio,2026-07-03T22:22,pendiente
I-0504,Z-03,2,emergencia_medica,2026-07-01T12:59,pendiente
I-0505,Z-01,2,rescate,2026-07-03T20:40,pendiente
I-0506,Z-18,3,fuga_gas,2026-07-02T12:42,pendiente
I-0507,Z-23,2,fuga_gas,2026-07-03T17:40,pendiente
I-0508,Z-24,5,derrumbe,2026-07-02T21:30,pendiente
I-0509,Z-29,3,inundacion,2026-07-03T14:15,pendiente
I-0510,Z-14,3,rescate,2026-07-02T11:41,pendiente
I-0511,Z-06,2,derrumbe,2026-07-02T19:10,pendiente
I-0512,Z-27,5,rescate,2026-07-01T18:42,pendiente
I-0513,Z-12,2,emergencia_medica,2026-07-04T07:37,pendiente
I-0514,Z-15,3,rescate,2026-07-01T15:21,pendiente
I-0515,Z-17,4,accidente_vehicular,2026-07-02T11:20,pendiente
I-0516,Z-39,3,fuga_gas,2026-07-02T01:05,pendiente
I-0517,Z-21,5,accidente_vehicular,2026-07-04T04:02,pendiente
I-0518,Z-31,3,derrumbe,2026-07-02T02:27,pendiente
I-0519,Z-08,2,rescate,2026-07-01T13:00,pendiente
I-0520,Z-16,5,incendio,2026-07-02T11:32,pendiente
